Serial Number,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits
127,22404,20910,21610,22818,22764,22988,25503
128,29825,30269,33922,35144,39687,41563,47933
129,27661,26801,27761,29267,31965,36209,36166
130,36775,35526,35986,46157,51139,56980,69937
131,14739,14312,15298,15775,16653,17561,21241
132,29626,29596,30590,32904,34020,56656,65296
133,16152,16061,17313,19094,19661,21264,23790
134,28330,32878,36577,42302,44889,51484,94589
135,11157,12591,13970,13266,13415,12554,14322
136,22137,21936,22822,23125,26053,27762,25399
137,63792,63953,67639,84116,82461,88602,93521
138,58081,57697,63164,67093,70853,76915,82400
139,17320,17915,19110,19061,20029,21653,20564
140,57748,61330,64095,66243,67613,70504,72888
141,53763,55204,59012,59682,60309,59874,60767
142,141659,190735,185039,181781,70932,74930,76988
143,80356,81878,86991,113094,99159,106457,112301
144,92062,92064,100350,104398,107501,116728,121984
145,81744,83287,90645,95793,96900,100463,107215
146,44512,46072,48991,52375,53709,57164,61448
147,30937,30905,32939,34771,35695,37120,39318
148,80951,82597,84251,91953,91685,93791,106374
149,54969,54886,59492,73749,74199,77433,86624
150,76667,86454,94731,109359,115741,124976,140723
151,61433,63328,72707,82505,98278,90128,99078
152,26339,25203,26801,25651,24326,24899,24800
153,46038,43954,52678,55330,62219,66872,73946
154,42794,40568,42452,43525,41664,40551,41103
155,24790,25884,27511,27515,28318,28667,29404
156,23573,22205,22431,21626,22761,23241,23557
157,81168,83450,88800,93978,95294,96418,103458
158,73101,70098,72286,74920,148035,75407,79057
159,71889,77046,89421,102619,105432,115949,140664
160,25721,24934,27613,28199,30488,32414,35361
161,421006,438499,454172,474920,392511,381661,360377
162,64528,64742,72892,74786,88600,80729,86898
163,38748,39687,41493,44327,45135,45860,47342
164,10987,12310,13259,13221,14923,14988,16163
165,38639,41544,44298,50287,56113,57096,59998
166,34678,38291,40702,45758,49630,53091,59651
167,39994,40579,46269,50936,54897,60016,65763
168,38797,39648,41639,44110,44626,47517,50742
169,22598,22461,25999,29151,33543,31600,33290
170,70495,81218,91098,105882,132702,131511,144532
171,41664,46489,54389,55817,62768,65353,70102
172,45272,45690,48324,54592,55604,57735,60320
173,46207,48086,55190,60223,65333,69945,74478
174,21672,24179,28087,33158,33908,37594,43242
175,31459,32331,36846,45481,47217,55047,60901
176,16156,19520,19921,21787,20956,24354,25117
177,20583,22208,25766,31051,31283,106428,108562
178,19460,20787,21039,22482,30887,34051,34776
179,33435,34581,38499,44077,44890,48267,52079
180,219459,161955,186146,187038,188911,185337,225885
181,50715,47414,51129,49701,50621,51813,53822
182,33467,32685,34732,53928,54673,54488,55732
183,66153,68850,74186,81002,83926,89633,93713
184,44213,41955,41540,44565,56438,49061,51668
185,30956,32134,32290,36314,38119,39982,42741
186,54574,55081,62259,68735,69365,75441,80109
187,32101,32440,33456,38273,35942,35048,39023
188,39011,41306,44475,45756,47699,50544,54842
189,38998,39446,41604,45393,48375,51069,68718
190,25778,28999,28297,30169,32079,32805,66029
191,30159,27051,28092,30328,32970,33401,36912
192,41913,45614,50037,59561,70311,77766,89985
193,75980,78161,92406,105309,134150,137913,147212
194,60902,65752,75902,82344,85864,87407,96621
195,33681,33810,35192,37340,40298,42794,46305
196,52501,53503,58024,61041,63728,65110,71735
197,27292,30090,31867,34747,44233,52629,53043
198,40834,42026,48761,56555,61934,67443,78929
199,0,0,0,0,0,0,0
200,7100,8000,7388,7202,6604,6789,6939
201,47784,52888,58641,67600,70969,75737,85338
202,35552,35908,39744,42515,44900,51767,47761
203,3252426,4460872,3929176,5258851,3476423,3047247,3230688
204,109101,116638,117142,117914,117671,144800,156310
205,206919,223505,256021,254060,278184,291199,320073
206,157884,166997,169361,177463,174971,187120,194321
207,113479,121711,133994,147524,168159,187357,207404
208,67738,71186,75921,83224,86789,97804,106955
209,14613,14763,18919,26471,29339,34661,40978
210,67824,89941,100889,100621,106011,117224,139273
211,128826,145549,159057,171830,184106,192839,217226
212,45602,46652,52011,57666,59524,64471,66872
213,73422,84916,86051,102575,117351,137932,140417
214,120869,122967,140630,162459,175233,199644,226740
215,54273,56789,60582,69709,81184,93198,158468
216,385042,358496,401598,449793,435100,445502,356447
217,52648,56465,60351,62262,68183,70354,78571
218,25868,27141,27621,29179,31569,34143,35277
219,107664,112041,118427,131836,147457,164493,179726
220,0,0,0,0,0,0,0
221,49959,54463,55763,61419,63086,73936,79195
222,69387,71243,80512,84695,91091,104212,116847
223,54443,57879,62602,70238,79258,79840,76122
224,30837,33380,37168,42906,50779,56874,61343
225,70594,85679,93603,107766,116671,136018,157396
226,14866,17117,19327,24473,24435,27116,31126
227,12077,12962,12572,16043,16570,18175,21717
228,10915,12291,12003,14170,14759,16561,18030
229,47970,62364,69665,78279,110898,125588,132241
230,31132,31415,46655,44458,54810,54253,62105
231,46609,41330,43333,49739,53403,60139,65117
232,33989,37565,46996,52240,54659,61229,63274
233,24868,26376,29962,36518,43184,47930,55328
234,24875,27683,26987,29931,30742,42515,37133
235,8792,12432,16669,16950,19112,22507,26560
236,60418,62824,76348,93062,98692,111553,127433
237,162543,180144,213903,237891,252334,255139,310094
238,177408,224626,247421,289855,291624,308165,319253
239,187578,264033,0,0,0,0,0
240,387528,447468,472600,451685,500238,384272,395077
241,25595,27099,29281,33472,32848,34141,36285
242,75220,72901,84683,92164,99085,118005,132516
243,27338,29176,31311,34608,36832,38282,41332
244,410368,348603,381521,343615,341937,309123,324626
245,42070,44986,44026,47946,51402,54291,57959
246,63852,59908,60351,60670,62366,69129,62501
247,40190,41048,43726,48794,51965,53855,55564
248,60352,62652,67453,74806,77919,81732,87867
249,37738,39836,41436,44675,44366,47504,51260
250,46566,53506,63793,69923,79197,88968,101359
251,7349,8771,10367,12133,14037,14920,16683
252,132245,154246,156466,196952,219112,238675,288419
253,38302,47738,53600,67360,83469,107057,127505
254,78768,87919,100913,115225,125922,138431,155921
255,138028,134617,143795,161848,187242,184926,205044
256,11533,13158,14552,16931,19868,23006,26787
257,11397,11893,13009,14558,16278,16318,17689
258,7032,8480,10280,12077,14160,15285,17046
259,19507,20261,22932,23846,24612,25494,28408
260,40202,39808,39525,42844,49015,50294,57638
261,34582,38765,48129,60084,61175,69403,76470
262,36720,44596,50166,59725,63849,84024,93265
263,303690,331659,348593,412092,432497,510236,592839
264,73840,110056,137898,160487,183406,204341,221048
265,32025,39532,44983,52071,59075,69050,82445
266,11604,12538,12976,16135,17908,18830,21073
267,59621,71882,88053,105888,130955,156907,189207
268,22097,25706,32063,37062,41898,46506,45902
269,19893,23934,27497,35147,35996,38658,43490
270,1471105,1737263,2121343,1620436,1732954,2012930,1873614
271,49526,50528,52786,55019,56493,59200,60341
272,27740,23811,24292,24373,24640,26581,27427
273,0,0,0,0,0,0,0
274,81755,80153,87148,95964,116748,118597,130595
275,45093,46449,49414,50867,54737,57364,62906
276,36832,38329,41855,46346,54955,61170,63912
277,17985,16398,17627,16507,17056,31426,31077
278,33160,35508,39089,40732,46153,43699,48590
279,101967,103510,116170,122922,135570,142703,158155
280,74956,80748,85229,97142,97381,104717,114979
281,32720,32969,35604,37871,39485,46028,46726
282,30964,31102,35746,37015,35800,38800,42608
283,32345,31329,34315,35211,37007,41235,44175
284,41235,39243,40959,45163,45846,47352,52247
285,41763,43460,47111,48761,51484,49210,52225
286,50779,49636,52806,55525,61607,70849,77475
287,22690,24915,27145,30395,31118,32832,39331
288,33473,35457,38500,39072,40009,39374,41381
289,16696,19364,20797,23728,24041,24830,29278
290,42923,40042,44914,51466,51362,57033,64189
291,28437,27918,32121,30403,32347,31695,28914
292,56145,56138,64857,66310,154500,111554,123194
293,57556,42738,30523,32110,32244,32075,35790
294,38131,41893,40749,43731,45036,45228,49439
295,52690,57971,55227,57542,57997,67740,73349
296,24451,25217,28935,29409,30957,32312,34042
297,24986,26055,30332,33154,35986,40080,39974
298,33457,30674,33823,39855,44293,46516,48082
299,26117,25163,27940,28492,29116,28704,32603
300,17622,18263,20819,22118,24424,25859,28446
301,21341,20913,23729,24242,23544,24671,26033
302,40636,38964,38377,39486,41734,41036,38868
303,37712,37516,40663,41298,42788,44540,43813
304,11819,11903,13591,17047,20475,21993,28162
305,420086,369387,406018,315589,341038,342410,327094
306,24499,25496,29099,32681,32980,35279,39292
307,53785,56823,60469,65954,71264,73602,80565
308,43942,44982,46161,48350,50436,51364,54957
309,43951,46111,50020,57908,61640,62848,66524
310,51808,47165,50463,54926,58388,58636,60221
311,33870,37320,40360,44109,49646,53426,60685
312,38982,38791,38091,39246,40558,46080,48052
313,36310,35281,35846,36282,36809,37287,38320
314,67218,68775,72275,73367,74509,80355,79208
315,54368,59895,67542,74890,77924,85627,90803
316,20101,22400,25057,27636,29217,33243,36266
317,48450,49413,53208,55952,57159,62497,64953
318,21541,22257,23480,28324,32984,35719,54019
319,58869,64286,75924,83965,90366,95993,107206
320,99200,107398,119826,129002,143910,152350,162568
321,41013,35786,40089,40591,42754,44240,45472
322,16603,16559,19914,20583,24129,23138,25797
323,16823,21073,24144,28609,30282,30501,33292
324,23188,24065,24441,23447,23412,25196,26403
325,47785,51345,56493,58973,61351,65494,75756
326,42228,41485,44265,49430,48462,48584,54002
327,63488,64426,68780,68689,69680,68625,73478
328,30315,30279,31569,34097,32942,34815,34867
329,24786,25224,29682,33054,35786,39494,44650
330,31123,30415,36480,36208,39676,40637,42960
331,50581,50949,51498,50928,51169,51207,53999
332,16091,21002,21195,27602,31926,34532,40849
333,9887,12565,15189,16062,17947,19445,22776
334,35731,35753,40803,42553,45875,48025,49546
335,0,0,0,0,0,0,0
336,42788,46378,50160,55535,65619,72002,77883
337,114618,112359,124318,135164,143901,142221,150378
338,44872,44033,49606,55132,55495,56877,65066
339,47387,49765,61272,68119,73875,79963,78946
340,46620,49499,53634,59315,64562,70615,74248
341,40212,40892,41060,43237,43470,44000,45084
342,22622,20971,24444,26448,26718,28310,31022
343,94023,107595,113650,123366,130037,143129,156022
344,51704,52705,59219,76288,77261,89524,97937
345,23318,24363,27656,28876,26566,28500,30163
346,50898,51938,59790,68897,71306,73019,86481
347,34283,36349,39838,41635,42712,44795,48239
348,82978,75579,81320,87954,93578,105880,134801
349,101495,100175,105980,113528,115945,121246,134148
350,40636,40516,45709,51671,54394,54079,56183
351,36348,41598,47564,58932,57591,62055,66331
352,347773,333764,328126,301545,435028,350566,375922
353,37309,38240,40130,41694,45269,48599,51331
354,42435,39495,41771,47526,90755,65634,78033
355,32274,32245,35429,38738,40883,39037,40156
356,48417,50583,60430,70250,73687,73056,75931
357,13358,13041,13081,13854,13463,13356,13741
358,24216,26394,32636,34115,36419,38211,40685
359,32888,33984,41260,43895,47237,59271,67501
360,33764,33603,36835,35005,39136,38391,41481
361,31325,31327,36112,39721,44082,45928,48507
362,24048,26362,29537,34736,37228,41543,44400
363,23573,25668,29099,30629,34819,40867,42602
364,32229,35475,41526,48503,73475,81515,88434
365,32412,39186,52291,56168,63489,66078,72596
366,0,0,0,0,0,0,0
367,22956,22836,30612,46865,49533,57605,65786
368,15371,13496,15950,19164,19728,20498,24263
369,34786,35339,41672,46303,49876,54343,57788
370,70163,77272,89516,115350,129791,126004,158034
371,29652,30257,37858,43209,47897,54503,60430
372,50828,62093,83554,94289,112716,122666,140866
373,21242,35060,45202,53484,55223,58958,77258
374,32581,36477,38961,42257,49329,57362,66984
375,35356,41698,47664,57088,62688,71303,75858
376,34809,38367,40623,43427,49026,53667,57504
377,0,0,0,0,0,0,0
378,35912,45937,50920,67462,71329,78145,92147
379,0,0,0,0,0,0,0
380,115348,120352,128100,148696,167961,189396,214036
381,35473,41359,46511,54008,65162,72781,103626
382,16087,15399,16366,17116,19826,20129,22978
383,6550,7237,9227,10414,11047,11598,12917
384,33482,38127,43621,52719,58830,69539,79890
385,69261,77904,89059,94375,101707,103813,107203
386,60645,66684,75550,84567,97043,103543,111291
387,15879,19653,23681,22425,23776,48541,54740
388,53623,52005,61225,65562,76108,94929,112591
389,33614,35520,49943,53645,51124,51708,62561
390,17779,21372,26279,29078,32779,36593,40237
391,32645,40514,45293,60493,71504,73623,91377
392,26264,32178,35479,39097,48218,52354,65612
393,24528,29254,35380,39088,42557,46773,57694
394,42322,57275,67123,79411,82739,94857,112433
395,24960,30424,29148,31132,33019,34435,39808
396,33029,33807,36698,38852,42599,47852,53067
397,25171,22328,26614,31955,33511,31881,36190
398,38533,47375,53261,62296,71739,79885,91578
399,18608,20086,23205,24612,28208,36876,34706
400,9861,10308,12552,14018,15165,16623,18181
401,39833,40161,43974,51273,50806,54338,65396
402,20317,24233,29267,34764,36919,42683,50506
403,29895,30755,32230,39479,42534,45409,50347
404,27990,36225,40383,43454,51151,60582,68245
405,58949,64374,71029,80279,89943,96959,111049
406,20392,23287,29667,32704,37690,51058,63335
407,49952,57415,65144,79133,91040,108448,125273
408,23728,36335,35991,46580,51151,54694,65928
409,26289,28520,31381,36162,38195,41584,48159
410,7651,9364,11134,13366,13913,17193,20241
411,13617,16333,42818,50864,62069,70900,77870
412,18636,20080,22556,24547,25745,28652,32034
413,15847,17094,27279,29182,31671,32762,54799
414,56229,59769,76509,98381,137302,148222,171397
415,16547,17363,19910,24112,25555,24675,27603
416,19625,23395,26672,30266,36028,48535,45996
417,29723,31871,38918,45648,47730,53121,58775
418,65229,41832,43176,49834,55574,60034,75463
419,38766,46455,61708,65506,92754,94915,91270
420,49112,59509,78872,65195,66451,73911,81701
421,49470,59230,72756,78846,91037,106353,131711
422,41455,51304,59749,82015,102312,89626,101862
423,25356,33851,41416,29398,35800,29717,39694
424,40551,43387,52789,63547,69141,75648,85443
425,37638,42101,46833,50698,61285,68310,79028
426,52504,52266,51488,61002,60827,65441,69135
427,47404,50721,56131,65034,72815,74147,82409
428,34231,44963,55462,67161,74000,81682,97637
429,48689,57090,68000,79627,109862,136117,157776
430,13803,16099,18557,22123,25778,27696,28530
431,31773,34444,41381,48666,54216,63139,70292
432,55484,36612,45387,48134,54725,59241,70286
433,44772,54247,60991,71744,79509,85459,94518
434,59669,68703,83276,102096,120939,156509,163249
435,57310,80281,103599,118947,145725,152335,172648
436,17345,19344,24361,36370,41284,44564,49581
437,31420,37579,41715,46511,48824,54158,64208
438,35622,39219,47348,54851,61559,77379,92124
439,9507,11095,13113,28546,29709,35514,36478
440,14168,15285,16121,18139,19979,23446,25185
441,40880,42343,52747,61224,71311,83809,92722
442,50870,57566,72018,82400,148473,160916,179203
443,69603,77931,88732,100384,106211,112655,122634
444,17069,17763,22262,26310,29164,31656,34535
445,35200,41251,51139,61988,63152,75161,84056
446,0,0,0,0,0,0,0
447,18931,19141,20325,22180,24459,27143,30390
448,28063,30490,36831,42091,50915,54076,62003
449,25540,29787,36293,41022,46619,55016,61876
450,35908,37899,39953,36757,39302,49332,45477
451,31780,39681,48514,54040,60181,63316,73709
452,25420,27113,29854,30984,34430,38514,46487
453,20403,19903,23890,27763,29327,30992,35940
454,26018,30554,34840,38370,40360,48070,72078
455,60513,53468,57587,62263,63637,69174,74960
456,32592,35703,45443,54701,65777,76039,105022
457,17535,18584,24354,26897,29870,33743,38194
458,19774,22343,30233,37043,39883,46684,54020
459,41385,51029,62126,70596,75875,84892,94807
460,31191,36480,48150,60811,69674,80566,90739
461,21454,22271,24881,27724,30838,34453,40156
462,30683,32933,39624,76425,79434,80516,97040
463,28393,32268,41090,47423,54496,62011,69902
464,34528,42652,51058,65108,78067,80893,102632
465,33857,38231,50995,57641,68883,92520,103180
466,45061,47413,61105,80666,93839,137031,141526
467,33579,40364,49353,57858,64211,73339,77803
468,33181,34558,39556,42879,49577,63986,72751
469,29786,36654,40554,47681,50781,53263,60613
470,20358,27279,33026,41885,40953,46010,50769
471,35515,42335,38204,46035,52082,55565,71398
472,80210,80465,88787,94562,102379,109092,112016
473,65432,73908,83275,92347,99426,113534,141270
474,35623,43537,48093,54752,58354,62493,68552
475,0,3,0,0,0,0,0
476,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0
481,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0
483,0,0,0,0,0,0,0
484,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0
487,0,0,0,0,0,0,0
488,13752,15078,20804,26869,30816,32220,39893
489,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0
491,9476,13370,14327,16777,32851,21423,20875
492,40251,107815,132236,380506,421829,494071,4158
493,821992,996863,1102509,9461,14467,18830,7475
494,0,0,0,0,0,0,0
495,0,0,0,0,0,0,0
496,24555,28101,32894,37698,42075,44089,57255
497,30282,32752,42069,50452,60310,79322,94531
498,24416,28641,31361,30420,32862,35228,43974
499,29411,35146,45261,58820,68927,78561,89388
500,13793,14774,17642,20675,21729,23713,35287
501,17037,19716,24485,30626,35568,43113,48107
502,47612,50624,63286,63857,73757,85453,95185
503,29611,36940,44182,51863,62291,60767,76339
504,38764,50014,54794,70782,82714,88538,105187
505,34326,42674,53901,57303,64577,75768,80823
506,42935,45848,51220,63465,70627,83832,99906
507,29225,29352,36190,40561,51515,59317,73444
508,18196,21435,25386,28858,34882,36401,50688
509,33730,42494,49619,53031,58324,67300,77108
510,53271,59830,69412,81978,93876,103776,111712
511,20823,22830,25998,28677,30600,36615,40309
512,40073,47421,51864,60469,74535,83782,90804
513,27021,35787,43991,55303,74959,89907,107792
514,23393,27296,31159,38691,51827,60586,65838
515,24075,24917,30956,37101,41252,50028,55783
516,4916291,5986462,6114913,6447273,7142562,6915884,8142300
517,29042,31045,42686,44659,55050,54140,59773
518,24042,26575,31736,35894,38285,41256,46067
519,25401,29492,35183,41461,46059,53024,58088
520,12967,15976,17986,22520,26552,30928,35817
521,18727,21451,24611,28909,38675,55848,86970
522,41251,48253,52059,57020,62833,70182,75243
523,22809,22312,30442,34374,38874,46045,55228
524,58110,61984,72125,84305,89488,107910,124230
525,22641,28403,34098,35110,38875,45502,46840
526,13827,14903,18686,21717,23745,25609,32134
527,16423,16915,18968,20059,32055,34636,38884
528,0,0,0,0,0,0,0
529,7465,8625,10666,13193,14970,17449,19968
530,35548,41703,44274,52628,52463,59987,68045
531,15968,20934,28619,32954,87815,105490,120748
532,12038,14590,32804,23738,22059,18026,18001
533,33827,39414,42701,49153,50029,64920,57390
534,34533,35986,41931,47466,53247,58854,65360
535,70916,76436,83945,93076,102829,117663,124987
536,40712,62417,66155,86920,93108,97999,120574
537,49668,50331,58826,72999,81250,90999,97672
538,44420,50197,57701,67260,75200,77026,84912
539,20885,23428,29474,35750,43219,45602,51473
540,28008,34049,37482,44373,52084,59339,70652
541,11373,13232,15176,18773,20647,21744,23267
542,19749,22902,30236,33280,40303,46517,55086
543,26566,31002,39994,45152,55279,64897,75975
544,27697,27400,31053,37282,53016,73023,79460
545,30743,36183,39877,47969,47063,74601,82380
546,57686,63309,53844,55574,70507,87829,98384
547,49361,55290,67511,88388,103231,116169,137377
548,13363,21632,29860,31983,34785,33243,30172
549,180697,177467,196341,218028,244757,241841,263052
550,33971,39225,48399,58692,68783,78858,89381
551,24162,29887,38883,47201,54343,74096,83967
552,34683,42795,50971,59769,66729,74805,81860
553,44258,47438,50182,55344,59811,67546,74871
554,14390,18959,23315,28098,31539,37355,52473
555,8802,10613,12924,15219,17512,18264,19357
556,52656,44575,45301,55504,60703,71637,79695
557,24015,27076,31580,33186,36002,39057,44421
558,50100,51495,60467,64794,81621,79595,98227
559,24131,36149,40774,41339,42560,35805,39328
560,15123,19384,19959,24610,29036,30949,36124
561,80403,83156,99118,115100,122453,126914,127467
562,19952,20515,23719,26914,32544,39395,53197
563,64763,102498,113100,122949,140504,157884,164357
564,69762,82374,99183,114237,128355,149415,172959
565,21691,24711,24976,29242,28258,28974,38052
566,22693,28236,35298,41878,48488,51694,58913
567,148351,163606,224499,257894,272931,301037,343465
568,16601,20577,26154,32542,39281,49433,60247
569,52107,68757,84294,107836,133634,152974,173517
570,44444,47069,58540,60520,72251,79852,83538
571,29279,32766,43209,58460,72620,77921,93447
572,29995,28928,30721,36132,40859,46252,59198
573,16706,18581,21126,23825,31902,34666,40280
574,25743,27247,33006,41048,45483,48386,60393
575,35876,43091,50253,61698,66661,73503,79138
576,9774,10745,11960,14442,13696,14755,16373
577,24154,27387,35489,43878,46461,52171,57279
578,18466,22454,25035,27695,32901,40953,45639
579,47210,54890,72807,84598,100148,106865,120107
580,23782,29874,33555,38188,43146,46392,52798
581,54902,55216,65266,77765,85480,92094,104277
582,39962,47027,54522,63322,72842,83010,93924
583,54625,62352,64283,68493,77424,80877,88698
584,45853,52355,70536,83662,96264,117432,132583
585,37881,43056,55673,64344,68162,75349,88975
586,9699,12807,14904,20925,19392,19309,24319
587,15177,17025,21167,25310,28044,32002,35600
588,17467,21621,24822,27726,31357,33302,38531
589,24183,25841,30068,35777,40700,45715,49622
590,188653,208432,238405,250569,260828,277094,308073
591,64956,69909,74386,78837,89321,86343,94213
592,71253,69526,72111,76412,78183,93894,140797
593,25899,34172,39744,57944,55533,53219,63004
594,17799,21982,28506,33600,36198,40716,44265
595,69220,69144,85298,94450,93626,97406,107192
596,29045,32647,36254,36377,38794,47520,53508
597,20940,24949,27870,35842,43765,52934,70636
598,10329,13329,17649,19593,22431,25142,27159
599,21389,20738,29316,27620,36605,76850,82402
600,68182,85896,98787,120113,175588,195151,221328
601,24135,31969,30478,35423,37115,42966,48192
602,153577328,194388000,207367988,223395353,241540582,261292750,313686851
603,8995,9410,11260,13494,14393,15835,17713
604,15151,18778,20316,22339,24904,28758,36678
605,16094,16690,23249,25328,30924,36324,60907
606,21293,25307,29367,32555,39591,43386,48517
607,23255,28831,37596,46903,54768,63642,87236
608,307740,359920,413440,434255,500379,467639,533276
609,20854,23720,27105,31142,52532,52516,59814
610,69094,80161,78210,102290,103025,107669,128187
611,103925,94741,95674,112163,139714,155387,183659
